Abelmoschus esculentus
Ampelocalamus naibunensis
Aristida rufescens
Aristolochia contorta
Aristolochia debilis
Artemisia capillaris
Artemisia fukudo
Artemisia gmelinii
Artemisia selengensis
Arthraxon prionodes
Fritillaria thunbergii
Iseilema macratherum
Lasiacis nigra
Ledebouriella seseloides
Leersia japonica
Stipagrostis hirtigluma
Streptostachys asperifolia
Trichosanthes kirilowii
Triodia basedowii
Triodia chichesterensis
Tristachya humbertii
Tristachya leucothrix
Triticum monococcum
Trochodendron aralioides
Trollius chinensis
Vitis x champinii
Ziziphus jujuba
